Ls [Deg]	OMEGA pressure [Pa]	MCD pressure [Pa]
249.292999	605.504814	587.383728
249.296997	582.468893	597.015930
249.300003	583.736734	603.454712
249.304001	613.589310	619.230957
nan	nan	nan
nan	nan	nan
nan	nan	nan
249.470001	632.247207	587.735901
249.475006	610.031742	606.751648
249.477997	647.496529	622.670898
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
249.658997	603.404822	618.927979
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
250.007996	581.746608	578.205322
250.011002	577.221377	609.139038
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
250.181000	685.681515	602.230591
250.186005	618.794097	592.351013
250.188995	602.489215	620.262817
250.192001	628.548536	616.460571
nan	nan	nan
nan	nan	nan
nan	nan	nan
250.358994	579.628545	579.612854
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
250.891998	588.645207	586.629456
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
251.070007	576.130545	565.453979
251.074005	607.180943	594.002991
nan	nan	nan
251.080994	594.510544	617.224365
nan	nan	nan
nan	nan	nan
251.425003	618.565987	587.030029
251.429993	613.988943	602.417908
251.432999	610.369724	621.188354
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
251.966003	607.730210	611.608704
251.968994	585.299923	621.506653
nan	nan	nan
nan	nan	nan
252.136002	579.577591	574.487366
252.139999	606.633524	593.682739
252.143997	606.124926	627.317139
252.147003	656.458325	617.951477
nan	nan	nan
nan	nan	nan
252.490997	609.754026	582.500854
252.496002	590.832219	590.738342
252.498993	597.903645	609.154480
nan	nan	nan
nan	nan	nan
nan	nan	nan
253.380005	589.409643	587.335327
253.384003	632.594590	604.040466
253.386993	604.040925	612.404907
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
253.917007	592.810470	572.699036
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
254.095001	594.602009	597.770569
254.098007	536.932109	597.010498
254.102005	613.547793	618.825989
nan	nan	nan
nan	nan	nan
254.623993	619.773585	594.510742
254.628006	606.181812	588.830078
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
255.156998	581.192533	586.994141
255.160995	612.305693	589.176514
255.164001	604.990822	593.187439
255.167999	617.849552	620.535889
nan	nan	nan
nan	nan	nan
255.694000	580.657913	579.718262
255.697006	587.585148	604.958191
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
255.875000	592.602006	595.305969
nan	nan	nan
nan	nan	nan
nan	nan	nan
256.045013	603.832110	584.302856
256.052002	577.670332	594.677551
256.056000	626.207815	617.576477
nan	nan	nan
256.399994	597.023183	585.412048
256.403992	586.240859	594.059814
256.407013	617.043154	611.751526
nan	nan	nan
nan	nan	nan
nan	nan	nan
256.933014	559.172223	566.766113
256.937012	585.425900	586.229370
nan	nan	nan
256.944000	587.258709	604.205261
nan	nan	nan
nan	nan	nan
257.291992	595.231172	598.011536
257.295013	604.432978	611.675476
nan	nan	nan
nan	nan	nan
nan	nan	nan
257.997986	585.798139	590.389160
nan	nan	nan
258.005005	554.586113	596.014648
258.009003	592.383095	620.981689
258.014008	596.133187	612.958923
nan	nan	nan
258.352997	608.266283	577.633606
258.356995	597.383900	587.589172
258.359985	637.172343	616.524231
