Local Time [hour]	Ptides [%]	Ls [deg]
12.000000	0.000000	350.000000
13.000000	-0.928384	350.000000
14.000000	-1.854729	350.000000
15.000000	-2.399776	350.000000
16.000000	-2.944349	350.000000
17.000000	-2.865419	350.000000
18.000000	-2.786480	350.000000
19.000000	-1.038315	350.000000
20.000000	0.710219	350.000000
21.000000	0.707545	350.000000
22.000000	0.705269	350.000000
23.000000	1.111337	350.000000
24.000000	1.517965	350.000000
0.000000	1.203002	360.000000
1.000000	1.432529	360.000000
2.000000	1.662462	360.000000
3.000000	1.754128	360.000000
4.000000	1.846105	360.000000
5.000000	1.952846	360.000000
6.000000	2.059831	360.000000
