Ls min [deg]	Ls max [deg]	Latitude min [deg]	Latitude max [deg]	Local Time min [hour]	Local Time max [hour]	Local Time center [hour]	OMEGA Median Tide [%]	OMEGA Std [%]	MCD Median Tide [%]	MCD Std [%]	Number of observations
90.000000	180.000000	-90.000000	-60.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	9.000000	10.000000	9.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	10.000000	11.000000	10.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	11.000000	12.000000	11.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	12.000000	13.000000	12.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	13.000000	14.000000	13.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	14.000000	15.000000	14.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	15.000000	16.000000	15.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-90.000000	-60.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	9.000000	10.000000	9.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	10.000000	11.000000	10.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	11.000000	12.000000	11.500000	nan	nan	nan	nan	0.000000
180.000000	270.000000	60.000000	90.000000	12.000000	13.000000	12.500000	nan	nan	nan	nan	0.000000
